Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2018,2,4,1,7,2018/4/1,HA,HA,19690,HA,50,,,,,HA,19690,HA,N393HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1503,-7,0,0,-1,1500-1559,16,1519,605,13,655,618,-37,0,0,-2,0600-0659,0,,0,585,555,526,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,2,1,2018/4/2,HA,HA,19690,HA,50,,,,,HA,19690,HA,N374HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1515,5,5,0,0,1500-1559,19,1534,640,6,655,646,-9,0,0,-1,0600-0659,0,,0,585,571,546,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,3,2,2018/4/3,HA,HA,19690,HA,50,,,,,HA,19690,HA,N395HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1526,16,16,1,1,1500-1559,13,1539,643,14,655,657,2,2,0,0,0600-0659,0,,0,585,571,544,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,4,3,2018/4/4,HA,HA,19690,HA,50,,,,,HA,19690,HA,N383HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1513,3,3,0,0,1500-1559,15,1528,616,7,655,623,-32,0,0,-2,0600-0659,0,,0,585,550,528,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,5,4,2018/4/5,HA,HA,19690,HA,50,,,,,HA,19690,HA,N395HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1521,11,11,0,0,1500-1559,26,1547,701,9,655,710,15,15,1,1,0600-0659,0,,0,585,589,554,1,4983,11,15,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,6,5,2018/4/6,HA,HA,19690,HA,50,,,,,HA,19690,HA,N360HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1510,0,0,0,0,1500-1559,19,1529,559,6,655,605,-50,0,0,-2,0600-0659,0,,0,585,535,510,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,7,6,2018/4/7,HA,HA,19690,HA,50,,,,,HA,19690,HA,N383HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1516,6,6,0,0,1500-1559,15,1531,617,9,655,626,-29,0,0,-2,0600-0659,0,,0,585,550,526,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,8,7,2018/4/8,HA,HA,19690,HA,50,,,,,HA,19690,HA,N385HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1508,-2,0,0,-1,1500-1559,19,1527,602,8,655,610,-45,0,0,-2,0600-0659,0,,0,585,542,515,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,9,1,2018/4/9,HA,HA,19690,HA,50,,,,,HA,19690,HA,N399HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1516,6,6,0,0,1500-1559,16,1532,703,11,655,714,19,19,1,1,0600-0659,0,,0,585,598,571,1,4983,11,13,0,6,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,10,2,2018/4/10,HA,HA,19690,HA,50,,,,,HA,19690,HA,N370HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1528,18,18,1,1,1500-1559,21,1549,642,10,655,652,-3,0,0,-1,0600-0659,0,,0,585,564,533,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,11,3,2018/4/11,HA,HA,19690,HA,50,,,,,HA,19690,HA,N375HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1515,5,5,0,0,1500-1559,22,1537,627,10,655,637,-18,0,0,-2,0600-0659,0,,0,585,562,530,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,12,4,2018/4/12,HA,HA,19690,HA,50,,,,,HA,19690,HA,N380HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1519,9,9,0,0,1500-1559,20,1539,646,14,655,700,5,5,0,0,0600-0659,0,,0,585,581,547,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,13,5,2018/4/13,HA,HA,19690,HA,50,,,,,HA,19690,HA,N391HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1516,6,6,0,0,1500-1559,13,1529,634,7,655,641,-14,0,0,-1,0600-0659,0,,0,585,565,545,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,14,6,2018/4/14,HA,HA,19690,HA,50,,,,,HA,19690,HA,N396HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1611,61,61,1,4,1500-1559,15,1626,718,9,655,727,32,32,1,2,0600-0659,0,,0,585,556,532,1,4983,11,0,0,0,0,32,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,15,7,2018/4/15,HA,HA,19690,HA,50,,,,,HA,19690,HA,N370HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1612,62,62,1,4,1500-1559,16,1628,743,8,655,751,56,56,1,3,0600-0659,0,,0,585,579,555,1,4983,11,56,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,16,1,2018/4/16,HA,HA,19690,HA,50,,,,,HA,19690,HA,N361HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1523,13,13,0,0,1500-1559,17,1540,629,8,655,637,-18,0,0,-2,0600-0659,0,,0,585,554,529,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,17,2,2018/4/17,HA,HA,19690,HA,50,,,,,HA,19690,HA,N395HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1509,-1,0,0,-1,1500-1559,19,1528,639,11,655,650,-5,0,0,-1,0600-0659,0,,0,585,581,551,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,18,3,2018/4/18,HA,HA,19690,HA,50,,,,,HA,19690,HA,N381HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1513,3,3,0,0,1500-1559,19,1532,647,10,655,657,2,2,0,0,0600-0659,0,,0,585,584,555,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,19,4,2018/4/19,HA,HA,19690,HA,50,,,,,HA,19690,HA,N385HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1512,2,2,0,0,1500-1559,13,1525,645,5,655,650,-5,0,0,-1,0600-0659,0,,0,585,578,560,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,20,5,2018/4/20,HA,HA,19690,HA,50,,,,,HA,19690,HA,N373HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1516,6,6,0,0,1500-1559,15,1531,649,14,655,703,8,8,0,0,0600-0659,0,,0,585,587,558,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,21,6,2018/4/21,HA,HA,19690,HA,50,,,,,HA,19690,HA,N373HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1605,55,55,1,3,1500-1559,15,1620,746,5,655,751,56,56,1,3,0600-0659,0,,0,585,586,566,1,4983,11,56,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,22,7,2018/4/22,HA,HA,19690,HA,50,,,,,HA,19690,HA,N380HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1508,-2,0,0,-1,1500-1559,15,1523,641,7,655,648,-7,0,0,-1,0600-0659,0,,0,585,580,558,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,23,1,2018/4/23,HA,HA,19690,HA,50,,,,,HA,19690,HA,N396HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1514,4,4,0,0,1500-1559,17,1531,646,8,655,654,-1,0,0,-1,0600-0659,0,,0,585,580,555,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,24,2,2018/4/24,HA,HA,19690,HA,50,,,,,HA,19690,HA,N390HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1514,4,4,0,0,1500-1559,18,1532,649,8,655,657,2,2,0,0,0600-0659,0,,0,585,583,557,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,25,3,2018/4/25,HA,HA,19690,HA,50,,,,,HA,19690,HA,N392HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1510,0,0,0,0,1500-1559,15,1525,635,10,655,645,-10,0,0,-1,0600-0659,0,,0,585,575,550,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,26,4,2018/4/26,HA,HA,19690,HA,50,,,,,HA,19690,HA,N389HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1533,23,23,1,1,1500-1559,19,1552,711,9,655,720,25,25,1,1,0600-0659,0,,0,585,587,559,1,4983,11,25,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,4,27,5,2018/4/27,HA,HA,19690,HA,50,,,,,HA,19690,HA,N389HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1510,1622,72,72,1,4,1500-1559,14,1636,812,19,655,831,96,96,1,6,0600-0659,0,,0,585,609,576,1,4983,11,72,24,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
