Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2018,1,1,1,1,2018/1/1,AS,AS,19930,AS,18,,,,,AS,19930,AS,N282AK,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2146,2139,-7,0,0,-1,2100-2159,19,2158,558,3,600,601,1,1,0,0,0600-0659,0,,0,314,322,300,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,1,1,2018/1/1,AS,AS,19930,AS,480,,,,,AS,19930,AS,N557AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2106,-14,0,0,-1,2100-2159,18,2124,520,10,525,530,5,5,0,0,0001-0559,0,,0,305,324,296,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,2,2,2018/1/2,AS,AS,19930,AS,18,,,,,AS,19930,AS,N281AK,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2139,2132,-7,0,0,-1,2100-2159,16,2148,534,4,553,538,-15,0,0,-1,0001-0559,0,,0,314,306,286,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,2,2,2018/1/2,AS,AS,19930,AS,480,,,,,AS,19930,AS,N579AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,2117,-3,0,0,-1,2100-2159,17,2134,521,8,525,529,4,4,0,0,0001-0559,0,,0,305,312,287,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,3,3,2018/1/3,AS,AS,19930,AS,18,,,,,AS,19930,AS,N419AS,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2146,,,,,,2100-2159,,,,,600,,,,,,0600-0659,1,B,0,314,,,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,3,3,2018/1/3,AS,AS,19930,AS,480,,,,,AS,19930,AS,N251AK,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,,,,,,2100-2159,,,,,525,,,,,,0001-0559,1,B,0,305,,,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,4,4,2018/1/4,AS,AS,19930,AS,18,,,,,AS,19930,AS,N459AS,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2146,,,,,,2100-2159,,,,,600,,,,,,0600-0659,1,B,0,314,,,1,2422,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,4,4,2018/1/4,AS,AS,19930,AS,480,,,,,AS,19930,AS,N273AK,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2120,,,,,,2100-2159,,,,,525,,,,,,0001-0559,1,B,0,305,,,1,2454,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,5,5,2018/1/5,AS,AS,19930,AS,18,,,,,AS,19930,AS,N282AK,18,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2146,2243,57,57,1,3,2100-2159,15,2258,645,70,600,755,115,115,1,7,0600-0659,0,,0,314,372,287,1,2422,10,0,0,115,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,1,5,5,2018/1/5,AS,AS,19930,AS,480,,,,,AS,19930,AS,N453AS,480,14057,1405702,34057,PDX,"Portland, OR",OR,41,Oregon,92,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2130,2152,22,22,1,1,2100-2159,25,2217,551,21,535,612,37,37,1,2,0001-0559,0,,0,305,320,274,1,2454,10,4,0,15,0,18,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
