Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2018,1,3,1,4,2018/3/1,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N648AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1351,1352,1,1,0,0,1300-1359,13,1405,1512,8,1530,1520,-10,0,0,-1,1500-1559,0,,0,99,88,67,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,2,5,2018/3/2,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N664MS,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1351,,,,,,1300-1359,,,,,1530,,,,,,1500-1559,1,C,0,99,,,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,3,6,2018/3/3,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N685AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1351,1408,17,17,1,1,1300-1359,16,1424,1528,13,1530,1541,11,11,0,0,1500-1559,0,,0,99,93,64,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,4,7,2018/3/4,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N907AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1344,-11,0,0,-1,1300-1359,16,1400,1503,6,1534,1509,-25,0,0,-2,1500-1559,0,,0,99,85,63,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,5,1,2018/3/5,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N698CB,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1511,76,76,1,5,1300-1359,42,1553,1710,7,1534,1717,103,103,1,6,1500-1559,0,,0,99,126,77,1,340,2,0,0,27,0,76,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,6,2,2018/3/6,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N925AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1405,10,10,0,0,1300-1359,10,1415,1522,5,1534,1527,-7,0,0,-1,1500-1559,0,,0,99,82,67,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,7,3,2018/3/7,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N858AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,,,,,,1300-1359,,,,,1534,,,,,,1500-1559,1,C,0,99,,,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,8,4,2018/3/8,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N664MS,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1348,-7,0,0,-1,1300-1359,24,1412,1523,10,1534,1533,-1,0,0,-1,1500-1559,0,,0,99,105,71,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,9,5,2018/3/9,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N670AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1347,-8,0,0,-1,1300-1359,28,1415,1520,5,1534,1525,-9,0,0,-1,1500-1559,0,,0,99,98,65,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,10,6,2018/3/10,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N670AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1347,-8,0,0,-1,1300-1359,17,1404,1510,4,1534,1514,-20,0,0,-2,1500-1559,0,,0,99,87,66,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,11,7,2018/3/11,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N674RJ,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1349,-6,0,0,-1,1300-1359,16,1405,1508,5,1534,1513,-21,0,0,-2,1500-1559,0,,0,99,84,63,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,12,1,2018/3/12,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N694AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1412,17,17,1,1,1300-1359,12,1424,1531,9,1534,1540,6,6,0,0,1500-1559,0,,0,99,88,67,1,340,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,1,3,13,2,2018/3/13,AA,AA_CODESHARE,19805,AA,3815,,,,,MQ,20398,MQ,N908AE,3815,14122,1412202,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1355,1407,12,12,0,0,1300-1359,26,1433,1551,6,1534,1557,23,23,1,1,1500-1559,0,,0,99,110,78,1,340,2,3,0,11,0,9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
