Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2018,2,5,1,2,2018/5/1,HA,HA,19690,HA,50,,,,,HA,19690,HA,N360HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1501,1,1,0,0,1500-1559,20,1521,632,5,655,637,-18,0,0,-2,0600-0659,0,,0,595,576,551,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,2,3,2018/5/2,HA,HA,19690,HA,50,,,,,HA,19690,HA,N375HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1509,9,9,0,0,1500-1559,15,1524,624,4,655,628,-27,0,0,-2,0600-0659,0,,0,595,559,540,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,3,4,2018/5/3,HA,HA,19690,HA,50,,,,,HA,19690,HA,N383HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1543,43,43,1,2,1500-1559,19,1602,704,13,655,717,22,22,1,1,0600-0659,0,,0,595,574,542,1,4983,11,22,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,4,5,2018/5/4,HA,HA,19690,HA,50,,,,,HA,19690,HA,N396HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1512,12,12,0,0,1500-1559,15,1527,623,4,655,627,-28,0,0,-2,0600-0659,0,,0,595,555,536,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,5,6,2018/5/5,HA,HA,19690,HA,50,,,,,HA,19690,HA,N395HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1521,21,21,1,1,1500-1559,19,1540,628,5,655,633,-22,0,0,-2,0600-0659,0,,0,595,552,528,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,6,7,2018/5/6,HA,HA,19690,HA,50,,,,,HA,19690,HA,N360HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1452,-8,0,0,-1,1500-1559,16,1508,618,7,655,625,-30,0,0,-2,0600-0659,0,,0,595,573,550,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,7,1,2018/5/7,HA,HA,19690,HA,50,,,,,HA,19690,HA,N399HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1505,5,5,0,0,1500-1559,24,1529,635,9,655,644,-11,0,0,-1,0600-0659,0,,0,595,579,546,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,8,2,2018/5/8,HA,HA,19690,HA,50,,,,,HA,19690,HA,N370HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1511,11,11,0,0,1500-1559,17,1528,641,11,655,652,-3,0,0,-1,0600-0659,0,,0,595,581,553,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,9,3,2018/5/9,HA,HA,19690,HA,50,,,,,HA,19690,HA,N385HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1504,4,4,0,0,1500-1559,20,1524,652,10,655,702,7,7,0,0,0600-0659,0,,0,595,598,568,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2018,2,5,10,4,2018/5/10,HA,HA,19690,HA,50,,,,,HA,19690,HA,N399HA,50,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,1500,1514,14,14,0,0,1500-1559,16,1530,654,5,655,659,4,4,0,0,0600-0659,0,,0,595,585,564,1,4983,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
