,start_time_index,counts,index_of_day,weekday,day
0,0,16,0,0,0
1,1,32,1,0,0
2,2,34,2,0,0
3,3,65,3,0,0
4,4,50,4,0,0
5,5,90,5,0,0
6,6,97,6,0,0
7,7,110,7,0,0
8,8,103,8,0,0
9,9,116,9,0,0
10,10,71,10,0,0
11,11,80,11,0,0
12,12,84,12,0,0
13,13,68,13,0,0
14,14,62,14,0,0
15,15,50,15,0,0
16,16,41,16,0,0
17,17,43,17,0,0
18,18,37,18,0,0
19,19,36,19,0,0
20,20,30,20,0,0
21,21,30,21,0,0
22,22,15,22,0,0
23,23,16,23,0,0
24,24,17,24,0,0
25,25,20,25,0,0
26,26,22,26,0,0
27,27,19,27,0,0
28,28,13,28,0,0
29,29,19,29,0,0
30,30,17,30,0,0
31,31,13,31,0,0
32,32,17,32,0,0
33,33,11,33,0,0
34,34,18,34,0,0
35,35,18,35,0,0
36,36,19,36,0,0
37,37,20,37,0,0
38,38,16,38,0,0
39,39,29,39,0,0
40,40,20,40,0,0
41,41,27,41,0,0
42,42,18,42,0,0
43,43,28,43,0,0
44,44,35,44,0,0
45,45,33,45,0,0
46,46,37,46,0,0
47,47,40,47,0,0
48,48,42,48,0,0
49,49,36,49,0,0
50,50,44,50,0,0
51,51,45,51,0,0
52,52,40,52,0,0
53,53,52,53,0,0
54,54,59,54,0,0
55,55,51,55,0,0
56,56,46,56,0,0
57,57,42,57,0,0
58,58,39,58,0,0
59,59,44,59,0,0
60,60,56,60,0,0
61,61,41,61,0,0
62,62,32,62,0,0
63,63,43,63,0,0
64,64,78,64,0,0
65,65,53,65,0,0
66,66,61,66,0,0
67,67,84,67,0,0
68,68,65,68,0,0
69,69,66,69,0,0
70,70,54,70,0,0
71,71,93,71,0,0
72,72,64,72,0,0
73,73,53,73,0,0
74,74,62,74,0,0
75,75,91,75,0,0
76,76,80,76,0,0
77,77,59,77,0,0
78,78,57,78,0,0
79,79,53,79,0,0
80,80,30,80,0,0
81,81,56,81,0,0
82,82,65,82,0,0
83,83,40,83,0,0
84,84,52,84,0,0
85,85,46,85,0,0
86,86,62,86,0,0
87,87,65,87,0,0
88,88,48,88,0,0
89,89,53,89,0,0
90,90,34,90,0,0
91,91,59,91,0,0
92,92,75,92,0,0
93,93,31,93,0,0
94,94,33,94,0,0
95,95,41,95,0,0
96,96,27,0,1,1
97,97,18,1,1,1
98,98,22,2,1,1
99,99,13,3,1,1
100,100,8,4,1,1
101,101,27,5,1,1
102,102,9,6,1,1
103,103,17,7,1,1
104,104,12,8,1,1
105,105,10,9,1,1
106,106,19,10,1,1
107,107,8,11,1,1
108,108,6,12,1,1
109,109,10,13,1,1
110,110,16,14,1,1
111,111,4,15,1,1
112,112,4,16,1,1
113,113,3,17,1,1
114,114,4,18,1,1
115,115,5,19,1,1
116,116,7,20,1,1
117,117,5,21,1,1
118,118,8,22,1,1
119,119,12,23,1,1
120,120,11,24,1,1
121,121,15,25,1,1
122,122,12,26,1,1
123,123,36,27,1,1
124,124,22,28,1,1
125,125,24,29,1,1
126,126,20,30,1,1
127,127,39,31,1,1
128,128,21,32,1,1
129,129,26,33,1,1
130,130,33,34,1,1
131,131,53,35,1,1
132,132,31,36,1,1
133,133,39,37,1,1
134,134,37,38,1,1
135,135,37,39,1,1
136,136,37,40,1,1
137,137,36,41,1,1
138,138,35,42,1,1
139,139,37,43,1,1
