,start_time_index,counts,index_of_day,weekday,day
0,0,53,0,0,0
1,1,42,1,0,0
2,2,43,2,0,0
3,3,36,3,0,0
4,4,38,4,0,0
5,5,39,5,0,0
6,6,28,6,0,0
7,7,28,7,0,0
8,8,21,8,0,0
9,9,6,9,0,0
10,10,4,10,0,0
11,11,2,11,0,0
12,12,1,12,0,0
13,13,9,13,0,0
14,14,11,14,0,0
15,15,5,15,0,0
16,16,3,16,0,0
17,17,12,17,0,0
18,18,7,18,0,0
19,19,18,19,0,0
20,20,16,20,0,0
21,21,38,21,0,0
22,22,64,22,0,0
23,23,49,23,0,0
24,24,61,24,0,0
25,25,45,25,0,0
26,26,42,26,0,0
27,27,59,27,0,0
28,28,41,28,0,0
29,29,49,29,0,0
30,30,48,30,0,0
31,31,46,31,0,0
32,32,33,32,0,0
33,33,50,33,0,0
34,34,61,34,0,0
35,35,56,35,0,0
36,36,36,36,0,0
37,37,38,37,0,0
38,38,69,38,0,0
39,39,91,39,0,0
40,40,89,40,0,0
41,41,102,41,0,0
42,42,71,42,0,0
43,43,67,43,0,0
44,44,57,44,0,0
45,45,41,45,0,0
46,46,51,46,0,0
47,47,46,47,0,0
48,48,62,48,0,0
49,49,57,49,0,0
50,50,91,50,0,0
51,51,89,51,0,0
52,52,88,52,0,0
53,53,88,53,0,0
54,54,79,54,0,0
55,55,94,55,0,0
56,56,111,56,0,0
57,57,127,57,0,0
58,58,122,58,0,0
59,59,128,59,0,0
60,60,151,60,0,0
61,61,142,61,0,0
62,62,121,62,0,0
63,63,134,63,0,0
64,64,134,64,0,0
65,65,130,65,0,0
66,66,92,66,0,0
67,67,114,67,0,0
68,68,89,68,0,0
69,69,117,69,0,0
70,70,126,70,0,0
71,71,148,71,0,0
72,72,101,72,0,0
73,73,108,73,0,0
74,74,98,74,0,0
75,75,126,75,0,0
76,76,110,76,0,0
77,77,142,77,0,0
78,78,125,78,0,0
79,79,122,79,0,0
80,80,120,80,0,0
81,81,81,81,0,0
82,82,89,82,0,0
83,83,86,83,0,0
84,84,120,84,0,0
85,85,175,85,0,0
86,86,152,86,0,0
87,87,133,87,0,0
88,88,157,88,0,0
89,89,157,89,0,0
90,90,233,90,0,0
91,91,130,91,0,0
92,92,144,92,0,0
93,93,161,93,0,0
94,94,141,94,0,0
95,95,110,95,0,0
96,96,79,0,1,1
97,97,69,1,1,1
98,98,43,2,1,1
99,99,81,3,1,1
100,100,55,4,1,1
101,101,35,5,1,1
102,102,43,6,1,1
103,103,44,7,1,1
104,104,40,8,1,1
105,105,38,9,1,1
106,106,13,10,1,1
107,107,17,11,1,1
108,108,17,12,1,1
109,109,9,13,1,1
110,110,17,14,1,1
111,111,16,15,1,1
112,112,19,16,1,1
113,113,26,17,1,1
114,114,22,18,1,1
115,115,26,19,1,1
116,116,45,20,1,1
117,117,45,21,1,1
118,118,74,22,1,1
119,119,72,23,1,1
120,120,87,24,1,1
121,121,107,25,1,1
122,122,96,26,1,1
123,123,82,27,1,1
124,124,88,28,1,1
125,125,70,29,1,1
126,126,79,30,1,1
127,127,80,31,1,1
128,128,67,32,1,1
129,129,76,33,1,1
130,130,99,34,1,1
131,131,57,35,1,1
132,132,65,36,1,1
133,133,50,37,1,1
134,134,60,38,1,1
135,135,72,39,1,1
136,136,63,40,1,1
137,137,57,41,1,1
138,138,91,42,1,1
139,139,95,43,1,1
140,140,76,44,1,1
141,141,48,45,1,1
142,142,32,46,1,1
143,143,41,47,1,1
144,144,65,48,1,1
145,145,70,49,1,1
146,146,76,50,1,1
147,147,80,51,1,1
148,148,70,52,1,1
149,149,90,53,1,1
150,150,96,54,1,1
151,151,125,55,1,1
152,152,88,56,1,1
153,153,89,57,1,1
154,154,91,58,1,1
155,155,119,59,1,1
156,156,103,60,1,1
157,157,107,61,1,1
158,158,103,62,1,1
159,159,91,63,1,1
160,160,118,64,1,1
161,161,160,65,1,1
162,162,149,66,1,1
163,163,131,67,1,1
164,164,135,68,1,1
165,165,140,69,1,1
166,166,138,70,1,1
167,167,120,71,1,1
168,168,128,72,1,1
169,169,103,73,1,1
170,170,119,74,1,1
171,171,153,75,1,1
172,172,135,76,1,1
173,173,140,77,1,1
