,start_time_index,counts,index_of_day,weekday,day
0,0,54,0,0,0
1,1,75,1,0,0
2,2,98,2,0,0
3,3,92,3,0,0
4,4,100,4,0,0
5,5,119,5,0,0
6,6,85,6,0,0
7,7,93,7,0,0
8,8,107,8,0,0
9,9,85,9,0,0
10,10,100,10,0,0
11,11,93,11,0,0
12,12,91,12,0,0
13,13,78,13,0,0
14,14,66,14,0,0
15,15,65,15,0,0
16,16,69,16,0,0
17,17,50,17,0,0
18,18,42,18,0,0
19,19,35,19,0,0
20,20,34,20,0,0
21,21,22,21,0,0
22,22,21,22,0,0
23,23,30,23,0,0
24,24,25,24,0,0
25,25,29,25,0,0
26,26,41,26,0,0
27,27,34,27,0,0
28,28,34,28,0,0
29,29,21,29,0,0
30,30,35,30,0,0
31,31,32,31,0,0
32,32,29,32,0,0
33,33,20,33,0,0
34,34,34,34,0,0
35,35,43,35,0,0
36,36,26,36,0,0
37,37,22,37,0,0
38,38,39,38,0,0
39,39,47,39,0,0
40,40,43,40,0,0
41,41,21,41,0,0
42,42,69,42,0,0
43,43,88,43,0,0
44,44,110,44,0,0
45,45,46,45,0,0
46,46,98,46,0,0
47,47,148,47,0,0
48,48,94,48,0,0
49,49,59,49,0,0
50,50,103,50,0,0
51,51,124,51,0,0
52,52,131,52,0,0
53,53,132,53,0,0
54,54,128,54,0,0
55,55,141,55,0,0
56,56,137,56,0,0
57,57,114,57,0,0
58,58,107,58,0,0
59,59,131,59,0,0
60,60,172,60,0,0
61,61,150,61,0,0
62,62,106,62,0,0
63,63,159,63,0,0
64,64,139,64,0,0
65,65,93,65,0,0
66,66,165,66,0,0
67,67,158,67,0,0
68,68,154,68,0,0
69,69,140,69,0,0
70,70,140,70,0,0
71,71,211,71,0,0
72,72,207,72,0,0
73,73,74,73,0,0
74,74,110,74,0,0
75,75,271,75,0,0
76,76,186,76,0,0
77,77,123,77,0,0
78,78,99,78,0,0
79,79,120,79,0,0
80,80,80,80,0,0
81,81,93,81,0,0
82,82,91,82,0,0
83,83,194,83,0,0
84,84,147,84,0,0
85,85,77,85,0,0
86,86,193,86,0,0
87,87,221,87,0,0
88,88,219,88,0,0
89,89,101,89,0,0
90,90,94,90,0,0
91,91,216,91,0,0
92,92,167,92,0,0
93,93,38,93,0,0
94,94,70,94,0,0
95,95,65,95,0,0
96,96,45,0,1,1
97,97,22,1,1,1
98,98,47,2,1,1
99,99,40,3,1,1
100,100,13,4,1,1
101,101,21,5,1,1
102,102,26,6,1,1
103,103,8,7,1,1
104,104,24,8,1,1
105,105,19,9,1,1
106,106,32,10,1,1
107,107,10,11,1,1
108,108,10,12,1,1
109,109,26,13,1,1
110,110,14,14,1,1
111,111,3,15,1,1
112,112,7,16,1,1
113,113,6,17,1,1
114,114,22,18,1,1
115,115,33,19,1,1
116,116,21,20,1,1
117,117,39,21,1,1
118,118,70,22,1,1
119,119,89,23,1,1
120,120,112,24,1,1
121,121,143,25,1,1
122,122,167,26,1,1
123,123,167,27,1,1
124,124,184,28,1,1
125,125,157,29,1,1
126,126,180,30,1,1
127,127,189,31,1,1
128,128,164,32,1,1
129,129,160,33,1,1
130,130,155,34,1,1
131,131,163,35,1,1
132,132,175,36,1,1
133,133,159,37,1,1
134,134,115,38,1,1
135,135,129,39,1,1
136,136,149,40,1,1
137,137,96,41,1,1
138,138,102,42,1,1
139,139,113,43,1,1
140,140,149,44,1,1
141,141,109,45,1,1
142,142,114,46,1,1
143,143,77,47,1,1
144,144,95,48,1,1
145,145,130,49,1,1
146,146,134,50,1,1
147,147,89,51,1,1
148,148,80,52,1,1
149,149,155,53,1,1
150,150,115,54,1,1
151,151,86,55,1,1
152,152,139,56,1,1
153,153,117,57,1,1
154,154,147,58,1,1
155,155,107,59,1,1
156,156,74,60,1,1
157,157,100,61,1,1
158,158,155,62,1,1
159,159,137,63,1,1
160,160,137,64,1,1
161,161,97,65,1,1
162,162,120,66,1,1
163,163,125,67,1,1
164,164,104,68,1,1
165,165,103,69,1,1
166,166,114,70,1,1
167,167,112,71,1,1
168,168,132,72,1,1
169,169,129,73,1,1
170,170,104,74,1,1
171,171,148,75,1,1
172,172,119,76,1,1
173,173,78,77,1,1
174,174,160,78,1,1
175,175,95,79,1,1
176,176,116,80,1,1
177,177,83,81,1,1
178,178,98,82,1,1
179,179,117,83,1,1
180,180,113,84,1,1
181,181,93,85,1,1
182,182,121,86,1,1
183,183,205,87,1,1
184,184,271,88,1,1
185,185,247,89,1,1
186,186,140,90,1,1
187,187,118,91,1,1
188,188,65,92,1,1
189,189,33,93,1,1
190,190,52,94,1,1
191,191,29,95,1,1
192,192,36,0,2,2
193,193,22,1,2,2
194,194,32,2,2,2
195,195,34,3,2,2
196,196,17,4,2,2
197,197,27,5,2,2
198,198,11,6,2,2
199,199,17,7,2,2
200,200,16,8,2,2
201,201,3,9,2,2
202,202,11,10,2,2
203,203,14,11,2,2
204,204,12,12,2,2
205,205,5,13,2,2
206,206,4,14,2,2
207,207,5,15,2,2
208,208,9,16,2,2
209,209,18,17,2,2
210,210,14,18,2,2
211,211,37,19,2,2
212,212,8,20,2,2
213,213,24,21,2,2
214,214,41,22,2,2
215,215,26,23,2,2
216,216,161,24,2,2
217,217,182,25,2,2
218,218,166,26,2,2
219,219,212,27,2,2
220,220,155,28,2,2
221,221,175,29,2,2
222,222,183,30,2,2
223,223,171,31,2,2
224,224,151,32,2,2
225,225,149,33,2,2
226,226,160,34,2,2
227,227,184,35,2,2
228,228,156,36,2,2
